(A) + (B);Produção da Equipe;[(A) + (B)] / (D);(E) + (F) + (G) + (H);BDI:23,01%;Preço Unitário Total
44,88;0,00;1,0000;0,00;26,46;6,08;
32,54;0,00;1,0000;0,00;41,55;9,56;
51,11;0,00;1,0000;0,00;28,02;6,44;
34,46;0,00;1,0000;0,00;5,80;1,33;
7,13;0,00;1,0000;0,00;5,02;1,15;
6,17;0,00;1,0000;0,00;15,33;3,52;
18,85;0,00;1,0000;0,00;12,70;2,92;
15,62;0,00;1,0000;0,00;13,21;3,03;
16,24;0,00;1,0000;0,00;116,39;26,78;
143,17;0,00;1,0000;0,00;2,73;0,62;
3,35;0,00;1,0000;0,00;145,14;33,39;
178,53;0,00;1,0000;0,00;18,30;4,21;
22,51;0,00;1,0000;0,00;177,40;40,81;
218,21;0,00;1,0000;0,00;230,05;52,93;
282,98;0,00;1,0000;0,00;4,32;0,99;
5,31;0,00;1,0000;0,00;27,55;6,33;
33,88;0,00;1,0000;0,00;280,44;64,52;
344,96;0,00;1,0000;0,00;37,11;8,53;
45,64;0,00;1,0000;0,00;5,99;1,37;
7,36;0,00;1,0000;0,00;51,65;11,88;
63,53;0,00;1,0000;0,00;8,91;2,05;
10,96;0,00;1,0000;0,00;71,50;16,45;
87,95;0,00;1,0000;0,00;92,83;21,36;
114,19;0,00;1,0000;0,00;12,97;2,98;
15,95;0,00;1,0000;0,00;2,62;0,60;
3,22;0,00;1,0000;0,00;18,24;4,19;
22,43;0,00;1,0000;0,00;4,22;0,97;
5,19;0,00;1,0000;0,00;26,85;6,17;
33,02;0,00;1,0000;0,00;36,14;8,31;
44,45;0,00;1,0000;0,00;5,89;1,35;
7,24;0,00;1,0000;0,00;8,40;1,93;
10,33;0,00;1,0000;0,00;12,72;2,92;
15,64;0,00;1,0000;0,00;19,05;4,38;
23,43;0,00;1,0000;0,00;26,56;6,11;
32,67;0,00;1,0000;0,00;36,84;8,47;
45,31;0,00;1,0000;0,00;50,83;11,69;
