
173;368,00;84,67;452,67;
174;458,72;105,55;564,27;
175;389,75;89,68;479,43;
176;348,14;80,10;428,24;
177;320,21;73,68;393,89;
178;300,26;69,08;369,34;
179;35,74;8,22;43,96;
180;21,94;5,04;26,98;
181;19,14;4,40;23,54;
182;18,20;4,18;22,38;
183;323,31;74,39;397,70;
184;268,52;61,78;330,30;
185;164,40;37,82;202,22;
186;821,60;189,05;1.010,65;
188;51,53;11,85;63,38;
189;0,16;0,03;0,19;
190;0,65;0,14;0,79;
191;0,57;0,13;0,70;
192;0,49;0,11;0,60;
193;0,41;0,09;0,50;
194;0,33;0,07;0,40;
195;0,24;0,05;0,29;
196;71,97;16,56;88,53;
197;80,68;18,56;99,24;
198;129,53;29,80;159,33;
199;792,73;182,40;975,13;
200;50,61;11,64;62,25;
201;25,86;5,95;31,81;
202;105,67;24,31;129,98;
203;136,75;31,46;168,21;
204;1.048,48;241,25;1.289,73;
205;33,41;7,68;41,09;
207;1,21;0,27;1,48;
209;1,09;0,25;1,34;
210;53,41;12,28;65,69;
211;2.668,89;614,11;3.283,00;
212;24,18;5,56;29,74;
213;435,00;100,09;535,09;
215;555,50;127,82;683,32;
217;353,29;81,29;434,58;
219;443,69;102,09;545,78;
221;471,03;108,38;579,41;
223;194,33;44,71;239,04;
225;456,71;105,08;561,79;
227;311,13;71,59;382,72;
229;573,54;131,97;705,51;
231;1.302,17;299,62;1.601,79;
233;4.841,62;1.114,05;5.955,67;
234;1.095,75;252,13;1.347,88;
235;206,62;47,54;254,16;
236;226,43;52,10;278,53;
238;264,49;60,85;325,34;
240;298,79;68,75;367,54;
241;304,84;70,14;374,98;
242;325,56;74,91;400,47;
243;289,03;66,50;355,53;
244;312,88;71,99;384,87;
246;421,45;96,97;518,42;
247;432,68;99,55;532,23;
249;251,62;57,89;309,51;
250;578,79;133,17;711,96;
251;712,09;163,85;875,94;
252;278,30;64,03;342,33;
254;299,00;68,79;367,79;
255;157,70;36,28;193,98;
257;177,72;40,89;218,61;
258;178,34;41,03;219,37;
260;198,36;45,64;244,00;
261;32,75;7,53;40,28;
262;118,57;27,28;145,85;
263;181,26;41,70;222,96;
265;337,47;77,65;415,12;
266;296,99;68,33;365,32;
268;247,97;57,05;305,02;
269;199,67;45,94;245,61;
270;515,00;118,50;633,50;
271;16,99;3,90;20,89;
272;25,03;5,75;30,78;
273;72,78;16,74;89,52;
274;267,17;61,47;328,64;
277;239,79;55,17;294,96;
278;226,13;52,03;278,16;
280;262,64;60,43;323,07;
282;100,86;23,20;124,06;
284;204,50;47,05;251,55;
286;216,74;49,87;266,61;
288;226,13;52,03;278,16;
291;470,36;108,22;578,58;
295;6.364,00;1.464,35;7.828,35;
299;10.529,62;2.422,86;12.952,48;
305;8.325,52;1.915,70;10.241,22;
311;9.664,31;2.223,75;11.888,06;
317;8.271,03;1.903,16;10.174,19;
323;9.609,82;2.211,21;11.821,03;
330;7.116,70;1.637,55;8.754,25;
337;9.084,37;2.090,31;11.174,68;
344;12.774,84;2.939,49;15.714,33;
348;7.994,58;1.839,55;9.834,13;
352;10.837,60;2.493,73;13.331,33;
356;11.052,92;2.543,27;13.596,19;
360;21.108,99;4.857,17;25.966,16;
361;15,79;3,63;19,42;
362;48,16;11,08;59,24;
364;46,38;10,67;57,05;
365;690,31;158,84;849,15;
366;790,31;181,85;972,16;
367;750,31;172,64;922,95;
368;690,31;158,84;849,15;
370;2.532,30;582,68;3.114,98;
372;2.242,43;515,98;2.758,41;
373;3.130,95;720,43;3.851,38;
375;1.809,56;416,37;2.225,93;
377;2.194,78;505,01;2.699,79;
379;1.043,25;240,05;1.283,30;
380;13,65;3,14;16,79;
381;2.732,79;628,81;3.361,60;
382;3.013,71;693,45;3.707,16;
383;21,60;4,97;26,57;
385;21,54;4,95;26,49;
386;18,27;4,20;22,47;
387;36,49;8,39;44,88;
388;26,46;6,08;32,54;
389;41,55;9,56;51,11;
390;28,02;6,44;34,46;
391;5,80;1,33;7,13;
392;5,02;1,15;6,17;
394;15,33;3,52;18,85;
396;12,70;2,92;15,62;
397;13,21;3,03;16,24;
398;116,39;26,78;143,17;
399;2,73;0,62;3,35;
